Angle0 Angle1 Angle2 Angle3 Angle4 Angle5 Bond0 Bond1 Bond2 Bond3
 93.6 102.4 106.7 115.5 116.5 120.6 0.93411 1.04444 1.04897 1.17640
 94.0 102.1 106.9 115.9 116.7 119.8 0.93346 1.04208 1.04608 1.17640
 94.4 101.8 107.1 116.4 116.9 118.9 0.93884 1.03635 1.05033 1.17621
 94.8 101.3 107.3 116.9 117.3 117.9 0.95006 1.03200 1.05712 1.17587
 95.2 100.8 107.5 116.8 117.6 117.9 0.96665 1.02913 1.06635 1.17534
 95.6 100.1 107.7 115.6 118.4 118.5 0.98772 1.02797 1.07769 1.17464
 96.0 99.3 107.9 114.3 119.3 119.3 1.01285 1.02858 1.09108 1.17362
 96.4 98.4 108.1 113.1 120.1 120.2 1.03102 1.04060 1.10596 1.17240
 96.7 97.5 108.3 111.8 121.1 121.2 1.03530 1.07073 1.12224 1.17079
 96.5 97.0 108.5 110.5 122.1 122.3 1.04129 1.10193 1.13938 1.16889
 95.5 97.3 108.7 109.2 123.1 123.4 1.04895 1.13402 1.15724 1.16659
 94.4 97.6 107.9 108.9 124.2 124.5 1.05802 1.16396 1.16608 1.17536
 93.3 97.9 106.7 109.1 125.3 125.7 1.06836 1.16095 1.19356 1.19792
 92.3 98.1 105.5 109.2 126.5 126.9 1.07968 1.15763 1.21151 1.22897
 91.2 98.3 104.3 109.4 127.6 128.1 1.09179 1.15399 1.22899 1.25904
 90.2 98.5 103.2 109.5 128.8 129.3 1.10436 1.15009 1.24579 1.28784
 89.1 98.7 102.1 109.6 129.9 130.6 1.11722 1.14598 1.26171 1.31515
 88.1 98.9 101.1 109.7 131.1 131.8 1.13005 1.14170 1.27662 1.34086
 87.1 99.0 100.1 109.8 132.2 133.0 1.13733 1.14268 1.29033 1.36475
 86.1 99.1 99.2 109.9 133.4 134.3 1.13292 1.15487 1.30278 1.38683
 85.2 98.1 99.3 109.9 134.5 135.5 1.12855 1.16644 1.31381 1.40686
 84.3 97.2 99.4 110.0 135.7 136.7 1.12431 1.17723 1.32352 1.42509
 83.5 96.4 99.5 110.0 136.8 138.0 1.12023 1.18705 1.33150 1.44091
 82.7 95.6 99.5 110.0 137.9 139.2 1.11641 1.19579 1.33780 1.45442
 81.9 94.8 99.6 110.0 139.0 140.4 1.11290 1.20335 1.34239 1.46560
 81.2 94.0 99.6 110.0 140.1 141.5 1.10978 1.20961 1.34523 1.47440
 80.6 93.3 99.6 109.9 141.1 142.7 1.10709 1.21453 1.34631 1.48080
 80.0 92.7 99.6 109.8 142.2 143.8 1.10490 1.21803 1.34561 1.48477
 79.5 92.1 99.6 109.7 143.2 144.9 1.10323 1.22009 1.34313 1.48630
 79.0 91.5 99.6 109.6 144.2 146.0 1.10214 1.22068 1.33887 1.48537
 78.6 90.9 99.5 109.5 145.3 147.1 1.10162 1.21978 1.33284 1.48197
 78.3 90.4 99.4 109.3 146.3 148.1 1.10171 1.21742 1.32505 1.47608
 78.0 89.9 99.3 109.1 147.2 149.2 1.10239 1.21361 1.31553 1.46770
 77.8 89.4 99.2 108.8 148.2 150.2 1.10366 1.20840 1.30432 1.45683
 77.7 89.0 99.1 108.6 149.2 151.1 1.10549 1.20184 1.29146 1.44347
 77.6 88.7 98.9 108.3 150.1 152.1 1.10785 1.19401 1.27700 1.42763
 77.6 88.3 98.7 107.9 151.1 153.0 1.11070 1.18499 1.26103 1.40935
 77.7 88.0 98.5 107.6 152.0 153.9 1.11399 1.17490 1.24364 1.38865
 77.9 87.8 98.3 107.2 152.9 154.7 1.11767 1.16387 1.22494 1.36558
 78.1 87.5 98.0 106.7 153.8 155.6 1.12165 1.15205 1.20509 1.34023
 78.4 87.4 97.7 106.2 154.7 156.4 1.12589 1.13962 1.18425 1.31269
 78.7 87.2 97.4 105.7 155.5 157.1 1.12677 1.13029 1.16266 1.28310
 79.1 87.1 97.0 105.2 156.3 157.9 1.11370 1.13478 1.14057 1.25164
 79.6 87.1 96.6 104.6 157.1 158.6 1.10067 1.11828 1.13926 1.21856
 80.1 87.1 96.2 104.0 157.9 159.3 1.08791 1.09615 1.14366 1.18417
 80.7 87.2 95.7 103.3 158.6 159.9 1.07461 1.07568 1.14786 1.14886
 81.4 87.3 95.2 102.6 159.3 160.5 1.05409 1.06424 1.11316 1.15177
 82.1 87.5 94.6 101.9 160.0 161.1 1.03510 1.05386 1.07768 1.15528
 82.9 87.8 94.0 101.2 160.5 161.6 1.01814 1.04320 1.04477 1.15826
 83.7 88.1 93.3 100.4 161.1 162.1 1.00373 1.01064 1.03720 1.16060
 84.6 88.4 92.6 99.7 161.5 162.5 0.98102 0.99235 1.03134 1.16217
 85.6 88.8 91.8 98.9 161.9 162.9 0.95547 0.98440 1.02733 1.16284
 86.6 89.2 91.0 98.1 162.2 163.2 0.93512 0.98020 1.02527 1.16250
 87.6 89.7 90.1 97.4 162.4 163.5 0.92096 0.97990 1.02521 1.16106
 88.7 89.2 90.1 96.7 162.6 163.6 0.91378 0.98356 1.02715 1.15847
 88.3 89.8 90.6 96.0 162.7 163.8 0.91400 0.99103 1.03101 1.15470
 87.3 90.9 91.1 95.3 162.6 163.8 0.92159 1.00207 1.03670 1.14979
 86.4 91.5 92.0 94.7 162.5 163.8 0.93615 1.01629 1.04406 1.14385
 85.5 91.9 93.1 94.1 162.3 163.6 0.95686 1.03322 1.05291 1.13701
 84.6 92.3 93.5 94.3 162.1 163.5 0.98272 1.05235 1.06305 1.12945
 83.8 92.7 93.0 95.4 161.8 163.3 1.01260 1.07316 1.07425 1.12139
 83.1 92.5 93.0 96.5 161.4 163.0 1.04537 1.08628 1.09512 1.11305
 82.4 92.0 93.3 97.6 161.0 162.6 1.07999 1.09890 1.10467 1.11773
 81.8 91.5 93.6 98.6 160.5 162.3 1.09647 1.11188 1.11556 1.14054
 81.2 91.1 93.8 99.6 160.0 161.8 1.08869 1.12499 1.15130 1.16315
 80.7 90.7 94.1 100.6 159.4 161.3 1.08154 1.13803 1.18521 1.18658
 80.3 90.3 94.3 101.6 158.9 160.8 1.07523 1.15079 1.20642 1.22089
